"iso","entity_type","climactor_id","baseline_value","baseline_year","inv_year","total_emissions","target_year","target_value","target_record","GDAM_id"
"TUR","SubRegion","046acbe86237b7df",1714702.3,2010,2010,1714702.3,2030,40,"046acbe86237b7df_2030","TUR.54.373"
"TUR","SubRegion","046acbe86237b7df",1714702.3,2010,2016,1470192.8,2030,40,"046acbe86237b7df_2030","TUR.54.373"
"TUR","SubRegion","046acbe86237b7df",1714702.3,2010,2016,1509301.1,2030,40,"046acbe86237b7df_2030","TUR.54.373"
"TUR","SubRegion","046acbe86237b7df",1714702.3,2010,2020,1642794.6,2030,40,"046acbe86237b7df_2030","TUR.54.373"
"MDA","SubRegion","0474f9209ca8a1da",6323.4,2017,2017,6323.4,2030,40,"0474f9209ca8a1da_2030","MDA.20.68"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1970,74198878.4102697,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1971,75378074.0243837,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1972,76254372.7901493,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1973,81738415.0333792,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1974,76347720.8318252,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1975,67144450.2867587,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1976,72636080.6367584,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1977,67565823.1893337,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1978,70212155.3265699,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1979,73348742.1484455,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1980,67509183.6255245,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1981,63187380.7298149,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1982,61174290.77546,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1983,62435584.8920781,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1984,68722922.0768273,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1985,64845451.1619755,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1986,66573620.9613755,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1987,71184297.978297,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1988,74112190.6658511,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1989,77346301.987514,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1990,70394726.3817396,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1991,69316922.5772372,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1992,67406246.0617348,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1993,69621465.5947132,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1994,70865428.334224,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1995,70497299.9494696,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1996,72693196.9662426,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1997,72790783.7283123,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1998,76023945.0659769,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,1999,78603789.6484374,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,2000,78499565.947345,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,2001,79020149.5969241,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,2002,79072160.0153885,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,2003,82194983.8316632,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,2004,83406138.9112676,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,2005,85005531.8502572,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,2006,78164978.6526455,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,2007,78486054.7766174,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,2008,74560352.7422235,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,2009,71390589.6754674,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
"USA","Region","0477ecaa4a3e988f",52574575.502063,2021,2010,71400936.820523,2045,100,"0477ecaa4a3e988f_2045","USA.21_1"
