,iso,entity_type,climactor_id,baseline_value,baseline_year,inv_year,target_year,target_value,target_record,GDAM_id,target_year_emission,annualised_ambition_from_baseline,annualised_ambition,2019_emissions_for_total_ambition,2030_emissions,absolute_ambition
3100,ESP,City,56e671c0f2b1c157,23117.2,2011,2011.0,2030,42.0,56e671c0f2b1c157_2030,ESP.06.39.39044,13407.976000000002,0.018626982412723203,0.018626982412723203,19888.779593498304,13407.976000000002,6480.803593498302
3102,ESP,City,56efd34df68f044a,30909.1,2019,2019.0,2030,40.0,56efd34df68f044a_2030,ESP.12.27.27066,18545.46,0.031061016501513494,0.031061016501513494,30909.1,18545.46,12363.64
3103,BEL,City,571bb77f63ab70a2,90517.4,2006,2006.0,2030,45.0,571bb77f63ab70a2_2030,BEL.3.2.2.8_1,49784.57,0.015602279011970532,0.015602279011970532,73781.90520891846,49784.57,23997.335208918455
3110,BEL,City,578d893033600872,85539.2,2011,2011.0,2030,40.0,578d893033600872_2030,BEL.2.1.1.12_1,51323.52,0.01786680031720378,0.01786680031720378,74050.55544234402,51323.52,22727.035442344022
3113,BEL,City,579316f9b3326279,62014.86,2011,2018.0,2030,40.0,579316f9b3326279_2030,BEL.2.4.2.19_1,37208.916,0.01786680031720378,0.018253016877364248,53685.73506274552,37208.916,16476.819062745526
3116,ESP,City,57a0301f6ed9a1f4,910.6,2005,2005.0,2030,41.0,57a0301f6ed9a1f4_2030,ESP.09.25.25036,537.2540000000001,0.013838465436646352,0.013838465436646352,749.2046580654015,537.2540000000001,211.9506580654014
3117,BEL,City,57c5f3642489a8c6,26103.5,2006,2006.0,2030,45.0,57c5f3642489a8c6_2030,BEL.3.4.2.7_1,14356.925000000001,0.015602279011970532,0.015602279011970532,21277.300967780815,14356.925000000001,6920.375967780814
3121,ITA,City,57dc0b6676f8644f,9481.9,2005,2018.0,2030,40.0,57dc0b6676f8644f_2030,ITA.3.17.100,5689.139999999999,0.01354986801622915,0.026739690573618802,7833.345179079288,5689.139999999999,2144.2051790792884
3123,ESP,City,57ecfea0914ea0a7,25032.89,2005,2007.0,2030,40.0,57ecfea0914ea0a7_2030,ESP.09.08.08138,15019.733999999999,0.01354986801622915,0.016470583210811407,20680.588088876924,15019.733999999999,5660.854088876926
3130,ITA,City,581d447520ac65ab,6597.523,2011,2011.0,2030,40.0,581d447520ac65ab_2030,ITA.19.84.035,3958.5137999999997,0.017866800317204,0.017866720276793258,5711.419357366435,3958.5137999999997,1752.9055573664355
3132,UKR,City,582f4766dc0f0ee9,50935.3,2014,2014.0,2030,37.0,582f4766dc0f0ee9_2030,UKR.18.06.013.001,32089.239,0.019870513042449467,0.019870513042449467,46071.90219815104,32089.239,13982.663198151036
3137,ITA,City,584bcd75ac99ebe1,47380.83,2005,2015.0,2030,40.0,584bcd75ac99ebe1_2030,ITA.5.24.026,28428.498,0.01354986801622915,0.02553578330339068,39143.04055740678,28428.498,10714.542557406778
3138,GRC,City,587314123e8b7f06,72598.4,2011,2011.0,2030,40.48,587314123e8b7f06_2030,GRC.4.3.40.02,43210.56767999999,0.01805017789191088,0.01805017789191088,62754.00033622238,43210.56767999999,19543.432656222387
3140,ESP,City,5874daed30ccd1f5,79059.8355,2005,2012.0,2030,40.0,5874daed30ccd1f5_2030,ESP.09.08.08035,47435.9013,0.01354986801622915,0.011942720538403728,65314.22829524954,47435.9013,17878.32699524954
3141,ESP,City,588803428c632588,5142.2,2013,2013.0,2030,40.0,588803428c632588_2030,ESP.12.15.15039,3085.3199999999997,0.019989654407636115,0.019989654407636115,4555.467225158285,3085.3199999999997,1470.1472251582854
3143,ESP,City,58965534b9324d1f,7292.9,2005,2012.0,2040,40.0,58965534b9324d1f_2040,ESP.09.08.08206,4375.74,0.009659850528855207,0.004064536891427384,6366.220329133014,4622.397884531943,1743.8224446010709
3150,BEL,City,589856da3e3d25b4,38498.7,2011,2020.0,2030,40.0,589856da3e3d25b4_2030,BEL.2.1.3.9_1,23099.219999999998,0.01786680031720378,0.032036867241692635,33327.99603933833,23099.219999999998,10228.776039338332
3255,CHL,City,58d8623c3296db28,4864142.12,2015,2019.0,2030,50.0,58d8623c3296db28_2030,CHL.14.5.22_1,2432071.06,0.02739965906371644,0.002934183689448755,4352551.570645782,2432071.06,1920480.510645782
3257,USA,City,5912e25950e08b10,16107571.94,2019,2019.0,2050,100.0,5912e25950e08b10_2050,USA.15.50.1600000US1836003,0.0,0.022611435601268326,0.022611435601268326,16107571.94,12524773.107835174,3582798.832164826
3261,ITA,City,592bf873f473822c,4867.2,2005,2006.0,2030,20.0,592bf873f473822c_2030,ITA.3.13.058,3893.76,0.007319519956019427,0.007625659905369453,4391.490433552827,3893.76,497.730433552827
3264,BEL,City,59476c5ed3b417f0,93125.8,2011,2020.0,2030,40.0,59476c5ed3b417f0_2030,BEL.2.1.3.21_1,55875.48,0.01786680031720378,0.03839323173769138,80618.21031775654,55875.48,24742.73031775654
3265,ESP,City,59490b12e8841719,1982.7,2005,2005.0,2030,40.0,59490b12e8841719_2030,ESP.09.43.43040,1189.62,0.01354986801622915,0.01354986801622915,1637.9811521488841,1189.62,448.36115214888423
3268,FRA,City,5973d5538870e53f,2544600.1,2017,2017.0,2050,100.0,5973d5538870e53f_2050,FRA.MA.243100518,0.0,0.021226606315364105,0.021226606315364105,2437720.168347932,1925251.8901877017,512468.27816023026
